IR1,IR2,x
390,465,149
495,1320,400
570,30,400
180,570,400
240,300,288
480,510,400
405,1740,33
855,0,24
555,0,134
675,0,243
390,0,400
225,585,105
450,1125,57
255,390,44
525,1620,32
390,0,400
690,0,400
465,0,82
330,420,61
360,525,70
435,570,57
435,300,45
420,420,36
375,600,25
570,1275,19
0,180,199
0,810,28
0,990,287
0,720,115
0,255,270
0,495,34
0,525,23
0,855,20
0,1110,400
0,840,290
315,210,118
360,375,96
300,405,111
615,615,85
420,1290,75
570,375,75
390,1035,65
360,1650,260
495,750,248
0,810,336
0,795,182
0,390,175
540,480,400
480,420,400
300,345,157
300,270,400
285,435,262
420,360,254
450,1050,133
540,840,224
540,1530,213
450,930,202
540,720,190
330,1230,179
570,690,169
585,600,157
885,2730,74
420,1740,65
1095,0,43
300,585,66
510,330,326
330,420,156
540,330,400
945,690,256
705,1200,200
390,375,236
300,390,330
405,390,168
465,360,151
360,645,138
330,540,125
525,180,117
300,525,286
270,375,118
330,1020,107
330,540,91
675,1320,85
645,570,57
540,450,48
315,435,36
495,675,263
150,180,38
480,465,400
225,180,124
540,330,132
465,390,106
210,645,90
645,300,400
600,1860,400
840,930,177
1170,1170,30
615,420,27
615,1860,400
555,465,400
345,255,400
390,270,176
345,660,163
195,300,154
345,420,141
195,180,118
315,435,108
405,540,112
495,630,112
255,420,167
390,480,145
375,1155,137
360,735,127
420,840,127
420,450,112
660,720,180
480,570,110
660,885,100
585,405,89
420,735,74
510,810,66
480,900,48
585,960,45
405,930,34
0,1410,45
0,705,112
60,0,400
225,630,158
420,420,155
390,900,144
420,600,134
495,600,125
390,360,113
540,450,108
570,510,167
735,780,156
420,450,73
585,600,400
510,390,400
690,840,389
270,300,169
630,330,156
570,480,194
585,510,141
855,285,119
585,165,155
660,630,41
345,630,81
1230,1080,62
870,690,78
465,720,73
855,480,61
450,510,50
810,1110,41
330,330,32
135,240,150
315,330,244
570,1350,125
555,240,118
255,870,129
225,450,149
360,465,400
510,570,400
420,720,400
465,960,400
465,585,243
435,660,222
540,780,149
0,1650,135
0,1065,164
0,315,121
0,795,97
0,450,131
435,360,155
450,450,105
495,750,105
345,1125,86
495,360,114
570,660,102
420,420,89
720,1080,80
1005,330,69
720,1170,139
1245,630,129
690,1170,120
1950,1440,193
735,780,188
1185,1830,183
420,720,150
1920,1260,132
885,390,112
1170,1815,121
855,630,118
345,1440,22
0,930,37
600,345,118
1380,1290,71
345,330,400
1380,1335,400
1020,510,400
705,750,400
1890,1350,400
1830,2190,400
1530,450,400
1800,840,400
840,555,400
810,390,400
930,480,400
570,510,400
300,270,400
1110,765,400
1980,930,249
270,450,65
3105,1455,51
1140,570,41
1260,1350,400
795,435,279
1320,1185,400
1020,2100,196
1785,750,185
855,2100,175
1455,420,157
1290,1320,400
810,330,253
990,570,126
465,210,39
1230,525,142
1050,870,130
450,2595,118
750,690,110
60,480,400
0,435,400
0,2100,400
1500,270,177
390,255,186
420,1050,172
1125,465,144
300,1575,135
1005,495,149
540,1515,111
1200,525,100
1590,585,400
1110,1005,400
1725,750,69
900,1260,127
1350,1050,93
1590,870,73
720,2010,68
3000,810,57
855,1560,33
735,780,39
0,840,190
0,480,97
0,2595,262
0,450,139
0,1200,207
0,195,400
0,705,400
60,1470,400
750,480,400
60,480,400
30,1290,400
180,480,400
60,600,400
60,1560,400
465,645,400
660,1635,107
630,810,120
750,600,93
1260,1305,82
1410,975,71
1200,735,59
2235,1710,48
2160,825,400
300,0,400
0,690,205
570,105,69
1380,1845,109
240,420,97
990,1350,92
0,645,82
510,1170,193
0,540,292
555,1530,285
1290,480,269
0,1200,258
1200,1800,247
585,420,238
660,2040,225
2130,510,144
1215,1875,202
810,615,192
1410,1380,110
255,675,172
240,285,96
1200,330,93
630,1005,74
1620,600,59
1530,1110,52
1455,135,400
2145,315,171
1110,1035,196
1290,555,207
0,585,312
0,2700,183
0,840,125
0,2130,140
900,1320,129
3030,0,2
1410,1425,400
0,510,400
1110,630,400
870,1080,400
360,660,400
1110,750,400
1950,2220,125
1230,630,119
1545,2070,107
1440,570,96
1740,2070,85
1440,630,74
1695,2010,63
2190,690,55
1680,1800,43
330,600,31
1185,1695,22
1185,2535,53
390,480,4
180,570,4
1230,675,4
570,1380,160
855,480,148
1050,1320,138
420,240,128
720,840,117
540,300,183
1050,720,171
660,1530,161
1350,360,140
630,1305,86
1695,390,127
540,1350,115
930,495,106
825,600,98
1020,1710,82
870,510,71
540,3705,62
540,7500,56
795,14040,400
750,5760,123
585,945,120
645,360,112
540,960,111
705,1170,100
660,510,129
1110,1440,165
780,750,397
660,1050,129
1410,1470,147
630,930,109
1320,1365,97
600,540,88
1080,1305,77
810,720,68
1350,690,59
1635,840,53
600,390,400
1575,1515,400
915,960,400
780,690,400
750,870,400
480,1575,400
1335,570,182
885,1200,216
480,450,225
600,1350,197
360,360,159
720,825,171
630,1590,192
810,390,149
345,1410,135
765,420,125
630,1395,115
2160,555,105
810,2160,102
615,495,126
2445,1875,127
1560,600,148
2835,1680,136
1005,720,123
555,1290,113
495,270,105
195,750,99
870,525,86
705,630,74
450,540,73
405,570,59
495,1200,42
585,420,30
525,1770,168
600,840,131
540,1170,122
225,375,131
1185,1290,134
570,375,117
300,315,126
615,1140,147
795,540,140
450,1230,134
780,675,174
480,570,67
135,570,54
330,450,43
390,1290,31
675,555,23
